Date,Open,High,Low,Close,Volume
4/13/2012,89.1586,89.2429,86.2157,86.4614,214911200
4/12/2012,89.2857,90.19,88.6429,88.9671,153584200
4/11/2012,90.8857,90.9814,89.0489,89.4571,174153700
4/10/2012,91.4186,92,89.4286,89.7771,222431300
4/9/2012,89.4471,91.4057,89.3286,90.89,149384200
4/5/2012,89.5686,90.6657,89.0571,90.5257,160324500
4/4/2012,89.1929,89.4086,88.1429,89.1871,143245200
4/3/2012,89.6143,90.3157,88.93,89.9029,208639900
4/2/2012,85.9757,88.3957,85.7686,88.3757,149587900
3/30/2012,86.9671,87.2229,85.42,85.65,182759500
3/29/2012,87.54,88.08,86.7471,87.1229,152059600
3/28/2012,88.34,88.7786,87.1871,88.2314,163865100
3/27/2012,86.5971,88.04,86.58,87.7829,151782400
3/26/2012,85.6843,86.7357,85.0371,86.7114,148935500
3/23/2012,85.7843,85.9714,84.9144,85.15,107622200
3/22/2012,85.3971,86.3571,85.0757,85.62,155967700
3/21/2012,86.1057,87.0929,85.9157,86.0714,161010500
3/20/2012,85.6443,86.7,83.1429,86.5657,204165500
3/19/2012,85.4814,85.9671,84.15,85.8714,225309000
3/16/2012,83.5314,84.1714,82.5714,83.6529,206371900
3/15/2012,85.6586,85.7157,82.65,83.6514,289929500
3/14/2012,82.5786,84.96,82.2,84.2257,354711000
3/13/2012,79.6486,81.1686,79.3929,81.1571,172713800
3/12/2012,78.426,78.8571,78.1429,78.8571,101820600
3/9/2012,77.7443,78.2486,77.5871,77.8814,104729800
3/8/2012,76.3843,77.57,76.0171,77.4271,129114300
3/7/2012,76.6857,76.8257,74.7571,75.8129,199630200
3/6/2012,74.8086,76.2414,73.7459,75.7514,202559700
3/5/2012,77.9171,78.2114,75.1429,76.1657,202281100
3/2/2012,77.7486,78.1143,77.5029,77.8829,107928100
3/1/2012,78.31,78.3157,76.9671,77.7814,170817500
2/29/2012,77.3657,78.23,76.5286,77.4914,238002800
2/28/2012,75.4229,76.4871,75.1214,76.4871,150096800
2/27/2012,74.4729,75.5,73.7543,75.1086,136895500
2/24/2012,74.2386,74.7,74.0914,74.63,103768000
2/23/2012,73.5057,73.9757,72.7857,73.77,142006900
2/22/2012,73.2971,73.6414,72.7243,73.2914,120825600
2/21/2012,72.4114,73.55,72.0171,73.55,151398800
2/17/2012,71.8729,72.5386,71.4714,71.7314,133951300
2/16/2012,70.2143,72.1271,69.5186,71.7443,236138000
2/15/2012,73.4657,75.1843,70.9843,71.0957,376530000
2/14/2012,72.0943,72.7943,71.7143,72.78,115099600
2/13/2012,71.3614,71.9757,71.0129,71.8,129304000
2/10/2012,70.1371,71.0886,69.7929,70.4886,157825500
