,Open,High,Close
884,96.0,96.57,95.1
885,96.62,96.65,95.33
886,96.45,97.75,97.55
887,97.82,98.41,97.14
888,97.32,98.475,97.46
889,98.69,99.12,97.34
890,98.53,99.3457,98.83
891,98.5,99.99,99.65
892,99.02,99.56,98.94
893,99.25,99.87,99.03
894,97.99,101.89,98.63
895,97.79,98.27,97.92
896,97.6,97.84,97.72
897,99.02,99.54,98.46
898,99.6,100.4,99.86
899,99.44,100.47,100.35
900,99.68,100.73,100.41
901,98.67,99.74,99.62
902,97.22,98.09,97.9
903,95.87,97.19,96.43
904,94.64,95.43,95.22
905,94.64,94.64,94.2
906,94.16,95.21,94.56
907,94.55,94.7,93.49
908,92.39,94.39,93.88
909,90.0,91.67,90.52
910,92.72,92.78,90.34
911,93.48,93.57,92.51
912,93.33,93.57,93.42
913,93.0,93.77,92.79
914,93.37,93.45,92.72
915,94.0,94.07,93.24
916,95.2,95.9,94.19
917,94.2,95.74,95.18
918,93.965,94.08,93.64
919,93.99,94.72,93.74
920,97.61,97.88,94.83
921,96.0,98.71,97.82
922,103.91,105.3,104.35
923,105.0,105.65,105.08
924,105.01,106.48,105.68
925,106.93,106.93,105.97
926,106.64,108.09,107.13
927,107.88,108.0,106.91
928,108.89,108.95,107.48
929,112.11,112.3,109.85
930,111.62,112.39,112.1
931,110.8,112.34,112.04
932,109.34,110.5,110.44
933,108.97,110.61,109.02
934,108.91,109.77,108.66
935,109.95,110.42,108.54
936,110.23,110.98,110.96
937,109.51,110.73,109.81
938,110.42,112.19,111.12
939,108.78,110.0,109.99
940,109.72,109.9,108.99
941,108.65,110.42,109.56
942,104.89,107.79,107.68
943,106.0,106.19,105.19
944,105.47,106.25,105.67
945,106.48,107.07,106.13
946,105.25,107.29,106.72
947,105.93,107.65,105.91
948,106.34,106.5,105.92
949,105.52,106.47,105.8
950,104.61,106.31,105.97
951,103.96,105.18,104.58
952,101.91,102.91,102.52
953,102.24,102.28,102.26
954,101.41,102.24,101.17
955,101.31,101.58,101.12
956,100.78,101.76,101.03
957,102.39,102.83,101.87
958,102.37,103.75,103.01
959,100.58,101.7099,101.5
960,100.51,100.89,100.75
961,97.65,100.77,100.53
962,96.86,98.23,96.69
963,97.2,98.0237,96.91
964,96.05,96.76,96.76
965,93.98,96.38,96.1
966,96.4,96.5,94.69
967,96.31,96.9,96.88
968,96.0,96.7599,96.04
969,98.84,98.89,96.26
970,96.67,98.21,98.12
971,95.02,96.85,96.64
972,94.19,94.5,93.99
973,93.79,94.72,93.7
974,95.92,96.35,94.27
975,94.29,95.94,94.99
976,93.13,95.7,95.01
977,96.52,96.92,94.02
978,95.86,97.33,96.6
979,95.0,96.84,96.35
980,95.42,96.04,94.48
981,96.47,96.71,96.43
982,94.79,97.34,97.34
983,93.79,94.52,94.09
984,96.04,96.6289,93.42
985,99.93,100.88,99.99
986,101.52,101.53,99.44
987,98.63,101.46,101.42
988,97.06,97.88,96.3
989,95.1,98.1897,96.79
